team,1930,1934,1938,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018,2022,code,country,confederation,url
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,14.0,14.0,14.0,ALG,Algeria,CAF,https://countryflagsapi.com/png/algeria
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,ANT,Angola,CAF,https://countryflagsapi.com/png/angola
Argentina,20.0,22.0,22.0,22.0,22.0,27.0,29.0,34.0,34.0,48.0,63.0,72.0,86.0,91.0,100.0,111.0,113.0,124.0,132.0,140.0,146.0,159.0,ARG,Argentina,CONMEBOL,https://countryflagsapi.com/png/argentina
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,13.0,20.0,25.0,28.0,35.0,AUS,Australia,OFC,https://countryflagsapi.com/png/australia
Austria,0.0,8.0,8.0,8.0,23.0,25.0,25.0,25.0,25.0,25.0,32.0,35.0,35.0,38.0,38.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,AUT,Austria,UEFA,https://countryflagsapi.com/png/austria
Belgium,0.0,2.0,5.0,5.0,10.0,10.0,10.0,10.0,15.0,15.0,15.0,20.0,35.0,42.0,47.0,50.0,58.0,58.0,58.0,64.0,79.0,80.0,BEL,Belgium,UEFA,https://countryflagsapi.com/png/belgium
Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,BOL,Bolivia,CONMEBOL,https://countryflagsapi.com/png/bolivia
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,BIH,Bosnia and Herzegovina,UEFA,https://countryflagsapi.com/png/bosnia%20and%20herzegovina
Brazil,1.0,2.0,16.0,38.0,46.0,56.0,68.0,72.0,91.0,95.0,104.0,118.0,124.0,128.0,136.0,153.0,165.0,172.0,182.0,193.0,199.0,208.0,BRA,Brazil,CONMEBOL,https://countryflagsapi.com/png/brazil
